Date,Cases Rate - Total,Deaths Rate - Total,Hospitalizations Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Hospitalizations Rate -  Age 0-17,Hospitalizations Rate -  Age 18-29,Hospitalizations Rate -  Age 30-39,Hospitalizations Rate -  Age 40-49,Hospitalizations Rate -  Age 50-59,Hospitalizations Rate -  Age 60-69,Hospitalizations Rate -  Age 70-79,Hospitalizations Rate -  Age 80+,Hospitalizations Rate -  Female,Hospitalizations Rate -  Male,Hospitalizations Rate -  Latinx,Hospitalizations Rate -  Asian Non-Latinx,Hospitalizations Rate -  Black Non-Latinx,Hospitalizations Rate -  White Non-Latinx,Hospitalizations Rate -  Other Race Non-Latinx,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx
03/20/2020,3.94,0.03,1.01,0.26,3.31,4.79,6.79,5.52,5.27,5.24,3.57,3.55,4.35,1.6,3.02,5.57,4.29,2.27,0,0,0,0,0.05,0.05,0.09,0.36,0.03,0.02,0,0,0.07,0.02,0,0,0.23,0.31,1.36,1.87,2.44,3.68,2.5,0.72,1.31,0.52,0.56,2.15,0.56,0.36,106.6,0.7,27.3,1.4,18.3,21.9,22.9,17.3,13.9,8.1,2.9,49.1,57.4,12.4,5.4,43.7,38.6,2.7,0,0,0,0,0.1,0.1,0.1,0.3,0.4,0.3,0,0,0.6,0.1,0,0,1.3,1.4,4.6,5.9,6.4,5.7,2,10,17.3,4,1,16.9,5,0.4
03/21/2020,4.43,0.04,1.28,0.26,3.54,5.51,7.35,6.53,5.98,6.16,4.29,3.91,4.99,2.04,3.34,6.52,4.44,2.75,0,0,0,0,0.05,0.11,0.09,0.54,0.03,0.04,0,0,0.11,0.02,0,0,0.34,0.5,1.61,2.65,2.82,4.69,2.68,0.88,1.71,0.7,0.87,2.68,0.67,0.6,120,1,34.7,1.4,19.6,25.1,24.7,20.4,15.7,9.6,3.4,54.1,65.9,15.9,6,51.1,40,3.3,0,0,0,0,0.1,0.3,0.1,0.4,0.4,0.6,0,0,0.9,0.1,0,0,1.9,2.3,5.4,8.3,7.4,7.3,2.1,12.1,22.6,5.4,1.6,21,6,0.7
03/22/2020,5.11,0.05,1.54,0.42,4.06,6.1,8.28,7.85,7.01,7.08,4.82,4.53,5.71,2.34,3.5,7.76,4.97,3.83,0,0,0,0.04,0.09,0.11,0.09,0.54,0.03,0.06,0,0,0.13,0.02,0.12,0,0.47,0.66,1.91,3.15,3.26,5.43,3.39,1.16,1.93,0.83,1.03,3.32,0.68,0.96,138.3,1.3,41.6,2.3,22.4,27.9,27.9,24.6,18.4,11,3.9,62.9,75.4,18.1,6.3,60.9,44.7,4.6,0,0,0,0.1,0.3,0.3,0.1,0.4,0.4,0.9,0,0,1,0.1,0.1,0,2.6,3,6.4,9.9,8.6,8.4,2.7,16.1,25.4,6.4,1.9,26,6.1,1.1
03/23/2020,6.23,0.06,2,0.49,4.91,7.17,9.72,9.86,8.26,9.93,6.61,5.61,6.88,2.91,3.97,9.75,5.71,5.26,0.03,0.03,0,0.04,0.09,0.05,0.18,0.54,0.02,0.1,0,0,0.16,0.02,0.12,0.03,0.54,1.13,2.17,3.79,4.07,7.63,5,1.62,2.39,1.1,1.43,4.3,0.81,1.43,168.6,1.6,54,2.7,27.1,32.7,32.7,30.9,21.7,15.4,5.3,77.7,90.9,22.6,7.1,76.4,51.4,6.3,0.1,0.1,0,0.1,0.3,0.1,0.3,0.4,0.3,1.3,0,0,1.3,0.1,0.1,0.1,3,5.1,7.3,11.9,10.7,11.9,4,22.4,31.6,8.6,2.6,33.7,7.3,1.7
03/24/2020,7.57,0.06,2.5,0.52,6.05,8.61,11.42,11.64,10.54,12.88,8.39,6.85,8.32,3.9,5,11.91,6.41,5.98,0.03,0.03,0,0.04,0.05,0.16,0.18,0.54,0.02,0.11,0.02,0,0.16,0.02,0.12,0.05,0.54,1.41,2.67,4.88,5.21,9.38,6.79,2.04,2.99,1.43,1.43,5.41,0.98,2.03,204.9,1.7,67.7,2.9,33.4,39.3,38.4,36.4,27.7,20,6.7,95,109.9,30.3,9,93.4,57.7,7.1,0.1,0.1,0,0.1,0.1,0.4,0.3,0.4,0.3,1.4,0.1,0,1.3,0.1,0.1,0.3,3,6.4,9,15.3,13.7,14.6,5.4,28.3,39.4,11.1,2.6,42.4,8.9,2.4
03/25/2020,8.65,0.08,2.94,0.52,6.56,9.83,12.78,14.33,11.35,15.17,11.07,7.77,9.58,4.51,5.4,14.23,6.83,7.65,0.03,0.03,0.03,0.04,0.09,0.22,0.18,0.71,0.04,0.13,0.04,0,0.2,0.03,0.12,0.05,0.7,1.85,3.18,5.61,5.49,11.13,8.75,2.46,3.44,1.58,1.35,6.63,1.08,2.39,234.1,2.3,79.6,2.9,36.3,44.9,43,44.9,29.9,23.6,8.9,107.7,126.4,35,9.7,111.6,61.4,9.1,0.1,0.1,0.1,0.1,0.3,0.6,0.3,0.6,0.6,1.7,0.3,0,1.6,0.3,0.1,0.3,3.9,8.4,10.7,17.6,14.4,17.3,7,34.1,45.4,12.3,2.4,52,9.7,2.9
03/26/2020,9.86,0.08,3.44,0.44,7.36,10.68,14.56,17.57,13.25,16.83,12.32,8.73,11.04,5.61,5.72,16.41,7.33,8.25,0.03,0.03,0.03,0.04,0.09,0.22,0.18,0.71,0.03,0.14,0.04,0.08,0.2,0.02,0.12,0.05,0.85,2.13,3.86,6.34,6.57,12.78,10.54,2.9,4.02,1.99,1.35,7.69,1.27,2.75,266.7,2.3,93.1,2.4,40.7,48.7,49,55,34.9,26.1,9.9,121,145.7,43.6,10.3,128.7,66,9.9,0.1,0.1,0.1,0.1,0.3,0.6,0.3,0.6,0.4,1.9,0.3,0.1,1.6,0.1,0.1,0.3,4.7,9.7,13,19.9,17.3,19.9,8.4,40.1,53,15.4,2.4,60.3,11.4,3.3
03/27/2020,11.17,0.13,3.99,0.49,7.88,11.9,16.86,20.91,14.45,18.76,15.54,10.17,12.22,6.58,6.2,19.02,7.79,8.97,0.03,0.03,0.03,0.08,0.14,0.38,0.46,0.71,0.06,0.19,0.07,0.08,0.27,0.05,0.12,0.1,0.88,2.32,4.76,7.62,7.55,13.61,13.75,3.5,4.49,2.15,1.67,9.13,1.37,3.23,302.3,3.4,107.9,2.7,43.6,54.3,56.7,65.4,38,29.1,12.4,141,161.3,51.1,11.1,149.1,70.1,10.7,0.1,0.1,0.1,0.3,0.4,1,0.7,0.6,0.9,2.6,0.6,0.1,2.1,0.4,0.1,0.6,4.9,10.6,16,23.9,19.9,21.1,11,48.6,59.3,16.7,3,71.6,12.3,3.9
03/28/2020,11.82,0.14,4.34,0.55,8.11,12.8,17.54,21.64,15.64,20.14,18.04,11.05,12.63,6.81,6.28,20.44,8.06,9.69,0.03,0.03,0.03,0.08,0.23,0.33,0.55,0.71,0.07,0.21,0.09,0.08,0.27,0.06,0.12,0.13,0.9,2.44,5.22,8.26,8.26,14.35,16.61,3.97,4.74,2.34,1.51,10.04,1.46,3.71,319.9,3.7,117.6,3,44.9,58.4,59,67.7,41.1,31.3,14.4,153.1,166.7,52.9,11.3,160.3,72.6,11.6,0.1,0.1,0.1,0.3,0.7,0.9,0.9,0.6,1,2.7,0.7,0.1,2.1,0.6,0.1,0.7,5,11.1,17.6,25.9,21.7,22.3,13.3,55,62.6,18.1,2.7,78.7,13.1,4.4
03/29/2020,12.43,0.23,4.66,0.49,8.29,13.46,18.51,22.23,17.06,21.61,20,11.62,13.28,7.39,6.75,21.75,7.94,9.93,0.03,0.05,0.03,0.08,0.37,0.54,1.1,1.43,0.1,0.37,0.13,0.24,0.51,0.1,0,0.13,0.88,2.6,5.77,8.67,8.96,15.45,18.22,4.19,5.15,2.52,1.43,10.87,1.54,3.59,336.3,6.3,126.1,2.7,45.9,61.4,62.3,69.6,44.9,33.6,16,161,175.3,57.4,12.1,170.6,71.4,11.9,0.1,0.3,0.1,0.3,1.1,1.4,1.7,1.1,1.4,4.9,1,0.4,4,0.9,0,0.7,4.9,11.9,19.4,27.1,23.6,24,14.6,58.1,68,19.6,2.6,85.3,13.9,4.3
